"Project","Site","Date","Time","Type","Location","Pick up date","depth","lat","lon","SampleID","nitrate isotopes","scint_frozen_yn","anions_yn","cations_yn","water isotopes","TNDOC_pour_yn","filtered_uM","spcond","T","sampled_by","comments","DateTime","year"
"DOD","CRBU",2019-05-30,"10:00","stream","sensors",NA,NA,NA,NA,"9436",NA,"n","y","y","n","n",0.45,NA,NA,NA,"Used disposable filters",2019-05-30 10:00:00,2019
"DOD","CRBU",2019-05-30,"10:00","stream","sensors",NA,NA,NA,NA,"9438",NA,"n","y","y","9441","n",0.45,NA,NA,NA,"Used disposable filters",2019-05-30 10:00:00,2019
"DOD","CRBU",2019-05-30,"10:00","stream","sensors",NA,NA,NA,NA,"9441",NA,"n","y","y","n","n",0.45,NA,NA,NA,"Used disposable filters",2019-05-30 10:00:00,2019
"DOD","POKE",2019-05-30,"10:15","stream","sensors",NA,NA,NA,NA,"9435",NA,"n","y","y","9435","n",0.45,NA,NA,NA,"Used disposable filters",2019-05-30 10:15:00,2019
"DOD","POKE",2019-05-30,"10:15","stream","sensors",NA,NA,NA,NA,"9440",NA,"n","y","y","n","n",0.45,NA,NA,NA,"Used disposable filters",2019-05-30 10:15:00,2019
"DOD","POKE",2019-05-30,"10:15","stream","sensors",NA,NA,NA,NA,"9442",NA,"n","y","y","n","n",0.45,NA,NA,NA,"Used disposable filters",2019-05-30 10:15:00,2019
"DOD","POKE",2019-05-30,"8:00","stream","autosampler",NA,NA,NA,NA,"S502",NA,"n","y","y","n","S502",0.7,NA,NA,NA,NA,2019-05-30 08:00:00,2019
"DOD","VAUL",2019-05-30,"17:15","stream","sensors",NA,NA,NA,NA,"9443",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-30 17:15:00,2019
"DOD","VAUL",2019-05-30,"17:15","stream","sensors",NA,NA,NA,NA,"9445",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-30 17:15:00,2019
"DOD","VAUL",2019-05-30,"17:15","stream","sensors",NA,NA,NA,NA,"9446",NA,"n","y","y","9446","n",0.7,NA,NA,NA,NA,2019-05-30 17:15:00,2019
"DOD","FRCH",2019-05-31,"14:45","stream","sensors",NA,NA,NA,NA,"9451",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-31 14:45:00,2019
"DOD","FRCH",2019-05-31,"14:45","stream","sensors",NA,NA,NA,NA,"9452",NA,"n","y","y","9451","n",0.7,NA,NA,NA,NA,2019-05-31 14:45:00,2019
