"","DateTime","DateTimeAK","julian","MOOS","FRCH","POKE","VAUL","STRT","VAUL.Q.int","FRCH.Q.int","MOOS.Q.int","STRT.Q.int","POKE.Q.int"
"105","2021-05-05 19:00:00",2021-05-05 19:00:00,124.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","2021-05-05 19:15:00",2021-05-05 19:15:00,124.760416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","2021-05-05 19:30:00",2021-05-05 19:30:00,124.770833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","2021-05-05 19:45:00",2021-05-05 19:45:00,124.78125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2021-05-05 20:00:00",2021-05-05 20:00:00,124.791666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","2021-05-05 20:15:00",2021-05-05 20:15:00,124.802083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","2021-05-05 20:30:00",2021-05-05 20:30:00,124.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","2021-05-05 20:45:00",2021-05-05 20:45:00,124.822916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","2021-05-05 21:00:00",2021-05-05 21:00:00,124.833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","2021-05-05 21:15:00",2021-05-05 21:15:00,124.84375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","2021-05-05 21:30:00",2021-05-05 21:30:00,124.854166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","2021-05-05 21:45:00",2021-05-05 21:45:00,124.864583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","2021-05-05 22:00:00",2021-05-05 22:00:00,124.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","2021-05-05 22:15:00",2021-05-05 22:15:00,124.885416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","2021-05-05 22:30:00",2021-05-05 22:30:00,124.895833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","2021-05-05 22:45:00",2021-05-05 22:45:00,124.90625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","2021-05-05 23:00:00",2021-05-05 23:00:00,124.916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
